Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa Eastern and Southern,AFE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.050104578,2.050104578,2.050104578,2.050104578,2.050104578,2.401994885,1.995695111,2.527245084,2.2133159,2.192952356,2.06305572,2.14555125,2.08691933,2.210722335,2.485091225,2.909319589,3.496627232,3.819345152,3.529575054,3.374714971,3.395748344,3.6914456,3.807137329,3.824271255,3.857887547,3.456906896,3.755312153,4.987515395,5.241509087,5.246659118,4.816642479,3.77331595,2.97342221,3.131523724,2.64687087,2.16204743,1.855660034,1.847030195,1.852316608,2.285999221,2.017056596,1.973853725,2.055572019,1.781583544,1.87359535,1.839746583,1.85835316,1.836788126,1.969399879,2.007892523,1.594661985,1.5558646,1.590402559,1.775406661,1.818082715,1.634912295,1.428236853,1.503970149,1.148091479,1.108202816,1.148446712
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.629606099,1.629606099,1.629606099,1.629606099,1.629606099,1.629606099,1.629606099,1.629606099,1.629606099,1.629606099,1.629606099,1.629606099,1.629606099,1.868910256,1.610824742,1.722065728,2.046086957,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.011474793,2.431257869,1.992065699,1.896233996,2.566267352,2.335545702,2.087412553,1.945835694,1.821345454,1.17541612,1.076949768,1.298012878,0.994575823,0.956772141,0.9452268,1.006746292,1.118230603,1.369684411
Africa Western and Central,AFW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.319918021,1.319918021,1.319918021,1.31656642,1.436640248,1.471689195,1.371937917,1.371937917,5.553581275,6.446817105,4.0003886,3.155024092,3.857710908,3.854093119,3.371783566,5.641638852,4.345497916,4.31470742,3.824975787,3.225345442,2.644433824,2.575454852,2.157616484,2.080790016,1.591903981,1.538873791,1.505594614,1.217473512,1.267626415,1.125226995,1.178660865,1.166399833,1.147040415,1.374072339,1.046225286,0.828096956,0.747621659,0.754609416,0.806299929,0.998509461,0.843197494,1.036905554,1.113995884,0.957290371,0.8883941,0.732512513,0.692776072,0.757327606,0.871846341,0.972806873,0.880388184,0.852291834,0.763744422,0.824640565,0.806713667,0.720279972,0.897884627,0.883373637,0.919129768,0.871354405,1.006795725
Angola,AGO,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.72e-05,1.73e-05,22.25,21.9805,19.43233333,17.46366667,7.1025,5.682830543,17.52258908,5.709280691,4.707392768,2.447848157,5.972268207,2.642011881,17.33469221,6.392603154,4.524353815,2.869932445,3.761479074,3.471180187,3.692240947,3.761495305,3.114054493,3.573120364,4.709610048,4.177584566,3.255660351,3.236659499,4.455239422,4.698454516,3.105426293,2.733340655,2.507985456,1.871775866,1.643740283,1.615852036
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,6.052021633,5.848317053,5.651595745,5.44128199,6.117504543,5.651426199,5.626186504,5.862228923,5.617316628,5.167612724,5.88830072,5.791270422,4.670887824,3.199451067,2.54781906,2.053587359,1.379029627,1.28308078,1.238242561,1.249210099,1.246360242,1.309291375,1.320034494,1.336842924,1.381157942,1.350004971,1.567769089,1.820765344,1.984868857,1.51721714,1.558591893,1.528266338,1.487082577,1.408982101,1.346515991,1.162303864,1.103581009,1.108696386,1.16126613,1.291087114,1.535464713
Arab World,ARB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.777087726,4.632189579,5.257323355,3.840471999,4.759899814,6.050344102,5.865765948,5.960860028,7.319623077,8.38354637,8.239256434,8.034700472,7.516732516,7.982250612,7.982250612,7.982250612,7.982250612,10.80844422,10.5953379,9.653917274,8.564015893,9.937428098,12.1115454,11.07117655,11.58701672,10.4944585,10.4944585,8.747279289,8.060831955,7.696866391,7.696866391,10.83663601,8.657194868,7.83626378,7.33152016,6.626234885,6.015575303,6.512082505,7.381915547,6.452619864,6.331742306,6.313711345,5.835110465,5.517387168,5.114257522,4.662873768,4.377627184,4.496758642,4.117715574,5.159116939,4.928924385,4.91922217,5.024738682,5.781257331,6.417261995,7.424917575,6.097516464,6.342684305,6.087332791,5.365259776,5.706540287
United Arab Emirates,ARE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,6.759061481,8.62972121,7.669537998,8.323722245,5.612105523,4.875531805,4.692306267,4.61147764,3.656470678,3.225974473,3.28052137,3.668022649,5.457107773,6.038592208,5.466314528,5.075556494,6.034686251,5.643651352,5.643651352,5.643651352,5.643651352,5.643651352,5.643651352,5.643651352
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.55,2.14,2.66,1.68,1.15,1.07,1.168,1.4,1.685714286,1.9375,1.877777778,1.807692308,1.823809524,1.848571429,1.659183673,2.041958042,3.781291173,4.008600096,4.719144058,4.673356256,3.098958333,3.465346535,2.704557935,2.738812785,2.162039144,2.299717248,2.313678749,2.28438688,2.124939223,1.880365592,1.450909212,1.506926555,1.421222233,1.422802901,1.457038533,1.473073107,1.241227264,1.140139111,1.136318022,1.220359548,1.148822677,1.184233542,1.091880479,1.060895057,0.883295359,0.847154784,0.788233877,0.792548175,0.762756475,0.886508577,0.814878105,0.764287094,0.784824721,0.83773643,0.878100919,0.850128583,0.813140078,0.856137916,0.745498855,0.706186671,0.761486737
Armenia,ARM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.203389831,2.296644333,2.296644333,4.059311908,3.281867004,3.90939856,3.528096003,3.697374231,3.560024873,3.127249385,2.697714749,2.728372214,2.741996705,2.871931363,2.947613156,3.042574701,3.395579363,4.157049908,4.265646056,3.853946441,3.583766919,3.997244557,3.943378265,4.239225786,4.090349217,3.849730577,4.119886153,4.768968354,4.858048412
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.36954514,2.415139854,2.36369537,2.446634639,2.648242797,2.952292962,3.451382904,3.793763967,3.837273585,3.38591988,2.966035577,2.763151709,2.685620605,2.379346796,2.262802699,2.267315593,2.216612107,2.247202208,2.21568857,2.192729371,2.248956904,2.296601945,2.393265216,2.519811819,2.505233651,2.523268379,2.540429752,2.372988832,2.161814883,2.051827509,2.07590586,2.168042858,2.16874608,2.178029886,2.116598589,2.021312568,1.930440067,1.867334395,1.871121813,1.889235741,1.829841913,1.870093879,1.873964621,1.846289689,1.827410769,1.80249268,1.822330926,1.815342245,1.798547172,1.926908956,1.856791362,1.757078228,1.671015795,1.639720581,1.772233857,1.951027863,2.083689225,1.997577266,1.890622246,1.879743267,2.063042777
