country,year,event_description
AFGHANISTAN,1997,"Taliban regime takes control of Kabul, leading to international isolation."
AFGHANISTAN,1998,Taliban rule continues with UN sanctions and humanitarian crisis.
AFGHANISTAN,1999,Strict Taliban policies exacerbate civil hardship and reduce trade.
AFGHANISTAN,2000,Severe drought and international sanctions impact economic activity.
AFGHANISTAN,2001,"US-led invasion begins post-9/11, major military conflict ensues."
AFGHANISTAN,2002,India reopens its embassy in Kabul and starts reconstruction projects.
AFGHANISTAN,2003,NATO-ISAF expands security presence; initial rebuilding efforts.
AFGHANISTAN,2004,First presidential election held; political stabilization efforts grow.
AFGHANISTAN,2005,"Parliamentary elections boost governance, increasing aid inflows."
AFGHANISTAN,2006,Taliban insurgency resurges; security operations intensify.
AFGHANISTAN,2007,Increased NATO combat operations fuel war economy dynamics.
AFGHANISTAN,2008,Election turmoil and violence disrupt markets and trade routes.
AFGHANISTAN,2009,US troop surge and provincial reconstruction teams deployed.
AFGHANISTAN,2010,"Kabul conference boosts international aid, impacting economy."
AFGHANISTAN,2011,India inaugurates the new Afghan Parliament building in Kabul.
AFGHANISTAN,2012,Transition to Afghan-led security; donors pledge long-term aid.
AFGHANISTAN,2013,Security handover concerns affect investor confidence in trade.
AFGHANISTAN,2014,End of ISAF combat mission; new Afghan government under Ghani.
AFGHANISTAN,2015,Resolute Support Mission continues; political transition challenges.
AFGHANISTAN,2016,"Peace talks begin, but security compromises trade routes."
AFGHANISTAN,2017,US announces troop increase under new strategy; conflict persists.
AFGHANISTAN,2018,Taliban offensive expands; negotiations create economic uncertainty.
AFGHANISTAN,2019,Presidential election delays and instability hamper commerce.
AFGHANISTAN,2020,US-Taliban peace deal signed; begin troop reductions.
AFGHANISTAN,2021,India evacuates its citizens during Taliban takeover.
AFGHANISTAN,2022,Taliban regain power; economic collapse fears deepen.
U S A,1997,Clinton-era globalization and NAFTA expansion.
U S A,1998,Record trade surplus amid tech boom.
U S A,1999,Y2K preparations boost software exports.
U S A,2000,Dot-com bubble bust begins; modest slowdown.
U S A,2001,9/11 attacks disrupt air transport and trade; India–U.S. aviation protocols updated.
U S A,2002,“War on Terror” begins; defense-industry exports from India to U.S. see uptick in demand.
U S A,2003,Iraq War starts; Indian engineering firms secure U.S. military logistics contracts.
U S A,2004,Recovery from early-2000s recession fuels Indian auto and pharma exports to the U.S.
U S A,2005,India and US agree on the Civil Nuclear Cooperation (123 Agreement).
U S A,2006,Housing market slowdown impacts export sectors.
U S A,2007,Subprime crisis seeds global financial turmoil.
U S A,2008,Global financial crisis peaks; trade contracts sharply.
U S A,2009,Stimulus packages under Obama support trade recovery.
U S A,2010,"U.S. grants India Major Defense Partner status, boosting bilateral defense-equipment trade."
U S A,2011,Debt ceiling standoff creates market uncertainty.
